_id,author,theme,title
63bf7cd728ff38edfcbc4c8b,Brandy Nālani McDougall,Love,Tehura 
63bf7cd728ff38edfcbc4c8c,Elizabeth Barrett Browning,Love,Change on Change
63bf7cd728ff38edfcbc4c8d,Maxwell Bodenheim,Love,Minna (IX)
63bf7cd728ff38edfcbc4c8e,Brandy Nālani McDougall,Love,This Island on Which I Love You
63bf7cd728ff38edfcbc4c8f,Georgia Douglas Johnson,Love,Paradox
63bf7cd728ff38edfcbc4c90,Elsa von Freytag-Loringhoven,Love,Appalling Heart
63bf7cd728ff38edfcbc4c91,Alireza Roshan,Love,from “The Book of Absence”
63bf7cd728ff38edfcbc4c92,Cynthia Hogue,Love,The Daughter
63bf7cd728ff38edfcbc4c93,Mrs. Minot Carter,Love,Fancies
63bf7cd728ff38edfcbc4c94,Donika Kelly,Love,"Self-Portrait as a Body, a Sea"
63bf7cd728ff38edfcbc4c95,Emily Pauline Johnson,Love,The Lost Lagoon
63bf7cd728ff38edfcbc4c96,James Crews,Love,Self-Compassion
63bf7cd728ff38edfcbc4c97,Ruth Muskrat Bronson,Love,Sonnets from the Cherokee (I)
63bf7cd728ff38edfcbc4c98,Countee Cullen,Love,"To John Keats, Poet. At Spring Time*"
63bf7cd728ff38edfcbc4c99,Traci Brimhall,Love,Aubade on a Ghost Hunt
63bf7cd728ff38edfcbc4c9a,Thomas Lovell Beddoes,Love,A Song on the Water
63bf7cd728ff38edfcbc4c9b,Gabrielle Bates,Love,Dear Birmingham
63bf7cd728ff38edfcbc4c9c,Aria Aber,Love,Waiting for Your Call
63bf7cd728ff38edfcbc4c9d,Edil Hassan,Love,Under the Tuscan Sun (2003): A Romance I̶n̶t̶e̶r̶r̶u̶p̶t̶e̶d̶
63bf7cd728ff38edfcbc4c9e,Sor Juana Inés de la Cruz,Love,Caprice
63bf7cd728ff38edfcbc4c9f,Ada Limón,Love,Lover
63bf7cd728ff38edfcbc4ca0,Juana de Ibarbourou,Love,Bond
63bf7cd728ff38edfcbc4ca1,Ama Codjoe,Love,Primordial Mirror
63bf7cd728ff38edfcbc4ca2,Tonya M. Foster,Love,from “In the After”
63bf7cd728ff38edfcbc4ca3,Juan Ramón Jiménez,Love,One Night
63bf7cd728ff38edfcbc4ca4,José Santos Chocano,Love,A Song of the Road
63bf7cd728ff38edfcbc4ca5,Helen Hoyt,Love,The Office Building
63bf7cd728ff38edfcbc4ca6,Rachel Levitsky,Love,Audience
63bf7cd728ff38edfcbc4ca7,E. C. Belli,Love,Vows
63bf7cd728ff38edfcbc4ca8,Jalynn Harris,Love,The Life of a Writer 
63bf7cd728ff38edfcbc4ca9,Gabriela Mistral,Love,I Sing What You Loved 
63bf7cd728ff38edfcbc4caa,Countee Cullen,Love,"Mary, Mother of Christ "
63bf7cd728ff38edfcbc4cab,Countee Cullen,Love,Spring Reminiscence 
63bf7cd728ff38edfcbc4cac,Countee Cullen,Love,Sacrament 
63bf7cd728ff38edfcbc4cad,Countee Cullen,Love,Caprice
63bf7cd728ff38edfcbc4cae,Countee Cullen,Love,Advice to Youth 
63bf7cd728ff38edfcbc4caf,Countee Cullen,Love,To One Who Said Me Nay
63bf7cd728ff38edfcbc4cb0,Countee Cullen,Love,If You Should Go
63bf7cd728ff38edfcbc4cb1,Countee Cullen,Love,"Oh, for a Little While Be Kind"
63bf7cd728ff38edfcbc4cb2,Countee Cullen,Love,For Myself
63bf7cd728ff38edfcbc4cb3,Countee Cullen,Love,"For Hazel Hall, American Poet"
63bf7cd728ff38edfcbc4cb4,Yanyi,Love,Landscape with a Hundred Turns
63bf7cd728ff38edfcbc4cb5,Langston Hughes,Love,A Black Pierrot
63bf7cd728ff38edfcbc4cb6,Countee Cullen,Love,"For John Keats, Apostle of Beauty"
63bf7cd728ff38edfcbc4cb7,Countee Cullen,Love,For a Wanton
63bf7cd728ff38edfcbc4cb8,Adeeba Shahid Talukder,Love,A Love Note
63bf7cd728ff38edfcbc4cb9,Countee Cullen,Love,For Daughters of Magdalen 
63bf7cd728ff38edfcbc4cba,Alice Dunbar-Nelson,Love,A Song Of Love 
63bf7cd728ff38edfcbc4cbb,Lloyd Schwartz,Love,Crossword
63bf7cd728ff38edfcbc4cbc,,Love,Summer and the City
63bf7cd728ff38edfcbc4cbd,Elsa Gidlow,Love,"I, Lover"
63bf7cd728ff38edfcbc4cbe,Jon-Michael Frank,Love,[there must be one thing you can’t have in order to be alive]
63bf7cd728ff38edfcbc4cbf,Chen Chen,Love,i love you to the moon &amp;
63bf7cd728ff38edfcbc4cc0,Rachel Mennies,Love,"September 23, 2016"
63bf7cd728ff38edfcbc4cc1,Luther Hughes,Love,When Struck by Night
63bf7cd728ff38edfcbc4cc2,Donika Kelly,Love,In the Beginning
63bf7cd728ff38edfcbc4cc3,Arisa White,Love,warm water
63bf7cd728ff38edfcbc4cc4,Arisa White,Love,gun(n)
63bf7cd728ff38edfcbc4cc5,Brian Sneeden,Love,Memory is Blood Soluble 
63bf7cd728ff38edfcbc4cc6,Forrest Gander,Love,Pastoral
63bf7cd728ff38edfcbc4cc7,Carol Muske-Dukes,Love,Grief Dream
63bf7cd728ff38edfcbc4cc8,Alicia Ostriker,Love,When Love
63bf7cd728ff38edfcbc4cc9,Rainer Maria Rilke,Love,Love Song
63bf7cd728ff38edfcbc4cca,Irvin W. Underhill,Love,Winter to Spring 
63bf7cd728ff38edfcbc4ccb,Dunya Mikhail,Love,One More Love Poem
63bf7cd728ff38edfcbc4ccc,Kemi Alabi,Love,Love Poem -1: Chicago (CST) to Bangalore (GMT +5:30)
